"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"6755",0,1,0,1,0,1,2,0,0
"6756",0,0,3,1,0,1,5,0,0
"6757",0,0,0,0,0,0,0,0,0
"6758",0,0,1,0,0,0,3,0,0
"6759",0,0,0,0,1,0,0,0,0
"6760",0,0,0,0,0,0,0,0,0
"6761",0,0,6,2,0,0,8,0,0
"6762",0,0,3,2,0,0,1,0,0
"6763",0,0,0,0,1,0,0,0,0
"6764",0,0,28,29,6,4,51,0,0
"6765",0,3,15,7,11,0,9,5,0
"6766",0,0,9,2,0,0,2,0,0
"6767",0,0,0,0,0,0,0,0,0
"6768",1,0,12,4,1,0,19,2,1
"6769",0,0,0,0,0,0,0,0,0
"6770",0,0,0,0,0,0,0,0,0
"6771",0,0,2,0,0,1,0,0,0
"6772",0,0,0,0,0,0,0,0,0
"6773",0,0,2,1,0,0,0,0,0
"6774",0,0,0,0,0,0,0,0,0
"6775",0,0,0,1,0,0,0,0,0
"6776",0,0,3,8,0,0,8,1,0
"6777",0,0,0,0,0,0,0,0,0
"6778",0,0,0,0,0,0,0,0,0
"6779",0,0,9,2,2,1,11,1,0
"6780",0,0,1,0,0,0,0,0,0
"6781",0,0,12,12,0,0,20,0,0
"6782",0,0,0,0,0,0,0,0,0
"6783",0,0,6,3,0,1,7,0,0
"6784",0,0,0,0,0,0,0,0,0
"6785",0,0,2,1,0,1,2,0,0
"6786",4,10,96,53,19,8,170,5,3
"6787",0,1,5,2,0,1,2,0,0
"6788",0,0,0,0,0,0,0,0,0
"6789",0,0,2,0,0,0,4,0,0
"6790",0,0,9,1,1,0,9,0,0
"6791",0,0,0,0,0,0,0,0,0
"6792",1,2,19,18,3,3,21,0,1
"6793",0,0,0,0,0,0,0,0,0
"6794",0,0,1,1,1,0,0,0,1
"6795",0,0,3,3,1,0,4,0,1
"6796",2,0,32,10,0,1,19,1,1
"6797",0,0,0,0,0,0,0,0,0
"6798",0,0,0,0,0,0,0,0,0
"6799",1,1,49,27,1,2,45,0,0
"6800",0,0,44,20,3,3,59,1,2
"6801",0,0,9,1,0,3,13,0,0
"6802",0,0,37,36,0,0,33,0,0
"6803",0,0,2,0,0,0,1,0,0
"6804",0,0,2,0,0,0,2,0,0
"6805",0,0,1,0,0,0,0,0,0
"6806",1,8,47,49,4,3,72,2,0
"6807",0,0,1,0,0,1,0,1,0
"6808",0,1,0,2,0,0,2,0,0
"6809",1,1,81,53,7,9,114,3,4
"6810",0,0,0,0,0,0,0,0,0
"6811",109,15,2,2,32,187,5,7,61
"6812",15459,12544,16856,19122,29160,25640,17756,6130,8021
"6813",0,7,6,1,11,10,9,54,8
"6814",137,241,500,475,457,231,394,125,102
"6815",375,692,1137,1173,1180,629,805,417,274
"6816",642,1005,2808,2125,2375,2331,5733,705,570
"6817",1694,1736,3265,2717,3750,3002,2987,1057,1034
"6818",271,181,716,505,510,520,764,138,200
"6819",64,51,134,116,98,66,199,27,28
"6820",0,0,0,0,0,0,0,0,0
"6821",6,11,49,41,47,28,102,35,23
"6822",0,0,0,0,0,0,0,0,0
